age,employment_type,monthly_income,monthly_expenses,existing_loans,own_contribution,property_value,dependents,target
8888.0,permanent,37333.333333333336,11200.0,0,170000.0,215000.0,0,1
8888.0,permanent,52333.333333333336,15700.0,0,200000.0,265000.0,0,1
8888.0,permanent,30000.0,9000.0,0,230000.0,235000.0,0,1
8888.0,permanent,11666.666666666666,3499.9999999999995,0,110000.0,135000.0,0,1
8888.0,permanent,39000.0,11700.0,0,130000.0,255000.0,0,1
8888.0,permanent,25666.666666666668,7700.0,0,10000.0,65000.0,0,1
8888.0,permanent,42000.0,12600.0,0,100000.0,145000.0,0,1
8888.0,permanent,21000.0,6300.0,0,80000.0,155000.0,0,1
8888.0,permanent,26333.333333333332,7899.999999999999,0,220000.0,235000.0,0,1
8888.0,permanent,28000.0,8400.0,0,200000.0,225000.0,0,1
8888.0,permanent,14666.666666666666,4400.0,0,590000.0,615000.0,0,1
8888.0,permanent,84666.66666666667,25400.0,0,510000.0,525000.0,0,1
8888.0,permanent,17666.666666666668,5300.0,0,80000.0,95000.0,0,1
8888.0,permanent,18666.666666666668,5600.0,0,60000.0,105000.0,0,1
8888.0,permanent,24000.0,7200.0,0,80000.0,95000.0,0,1
8888.0,permanent,114333.33333333333,34300.0,0,30000.0,125000.0,0,1
8888.0,permanent,328333.3333333333,98499.99999999999,0,310000.0,1035000.0,0,0
8888.0,permanent,40000.0,12000.0,0,200000.0,995000.0,0,0
8888.0,permanent,86333.33333333333,25899.999999999996,0,200000.0,1005000.0,0,0
8888.0,permanent,22666.666666666668,6800.0,0,0.0,25000.0,0,0
8888.0,permanent,24333.333333333332,7299.999999999999,0,0.0,115000.0,0,0
8888.0,permanent,43000.0,12900.0,0,10000.0,175000.0,0,0
8888.0,permanent,4666.666666666667,1400.0,0,220000.0,335000.0,0,0
8888.0,permanent,81000.0,24300.0,0,760000.0,1065000.0,0,1
8888.0,permanent,33333.333333333336,10000.0,0,330000.0,375000.0,0,1
8888.0,permanent,16000.0,4800.0,0,210000.0,315000.0,0,0
8888.0,permanent,30333.333333333332,9100.0,0,490000.0,615000.0,0,1
8888.0,permanent,26000.0,7800.0,0,290000.0,445000.0,0,1
8888.0,permanent,1016666.6666666666,305000.0,0,20000.0,155000.0,0,0
8888.0,permanent,30333.333333333332,9100.0,0,140000.0,315000.0,0,0
8888.0,permanent,83333.33333333333,24999.999999999996,0,60000.0,175000.0,0,1
8888.0,permanent,83333.33333333333,24999.999999999996,0,30000.0,175000.0,0,1
8888.0,permanent,33333.333333333336,10000.0,0,120000.0,335000.0,0,1
8888.0,permanent,28333.333333333332,8500.0,0,300000.0,355000.0,0,0
8888.0,permanent,412000.0,123600.0,0,180000.0,525000.0,0,1
8888.0,permanent,738666.6666666666,221599.99999999997,0,200000.0,355000.0,0,0
8888.0,permanent,18000.0,5400.0,0,120000.0,135000.0,0,0
8888.0,permanent,14000.0,4200.0,0,80000.0,155000.0,0,1
8888.0,permanent,4000.0,1200.0,0,220000.0,325000.0,0,1
8888.0,permanent,23000.0,6900.0,0,40000.0,235000.0,0,1
8888.0,permanent,9666.666666666666,2899.9999999999995,0,50000.0,145000.0,0,0
8888.0,permanent,6000.0,1800.0,0,40000.0,105000.0,0,1
8888.0,permanent,13666.666666666666,4100.0,0,40000.0,105000.0,0,1
8888.0,permanent,110666.66666666667,33200.0,0,140000.0,285000.0,0,1
8888.0,permanent,36666.666666666664,10999.999999999998,0,170000.0,545000.0,0,1
8888.0,permanent,16666.666666666668,5000.0,0,10000.0,155000.0,0,0
